DATE,EXINUS
1973-01-01,8.0041
1973-02-01,7.7538
1973-03-01,7.5465
1973-04-01,7.5462
1973-05-01,7.4927
1973-06-01,7.2719
1973-07-01,7.3510
1973-08-01,7.5643
1973-09-01,7.7000
1973-10-01,7.7271
1973-11-01,7.8340
1973-12-01,8.1100
1974-01-01,8.4377
1974-02-01,8.2444
1974-03-01,8.0567
1974-04-01,7.8655
1974-05-01,7.7855
1974-06-01,7.8490
1974-07-01,7.8345
1974-08-01,7.9841
1974-09-01,8.1210
1974-10-01,8.0505
1974-11-01,8.0644
1974-12-01,8.0952
1975-01-01,8.1300
1975-02-01,7.9717
1975-03-01,7.7500
1975-04-01,7.8841
1975-05-01,8.0700
1975-06-01,8.1914
1975-07-01,8.4895
1975-08-01,8.7895
1975-09-01,8.8648
1975-10-01,8.8945
1975-11-01,8.8994
1975-12-01,8.9827
1976-01-01,8.9471
1976-02-01,8.9389
1976-03-01,8.9648
1976-04-01,8.9918
1976-05-01,9.0265
1976-06-01,9.1109
1976-07-01,8.9233
1976-08-01,8.9755
1976-09-01,9.0614
1976-10-01,8.8960
1976-11-01,8.9658
1976-12-01,8.8535
1977-01-01,8.9052
1977-02-01,8.8626
1977-03-01,8.8417
1977-04-01,8.8429
1977-05-01,8.8338
1977-06-01,8.8605
1977-07-01,8.8163
1977-08-01,8.7213
1977-09-01,8.7300
1977-10-01,8.6150
1977-11-01,8.6405
1977-12-01,8.5371
1978-01-01,8.2010
1978-02-01,8.1094
1978-03-01,8.2078
1978-04-01,8.4650
1978-05-01,8.5827
1978-06-01,8.4041
1978-07-01,8.1665
1978-08-01,8.0139
1978-09-01,8.0365
1978-10-01,7.9110
1978-11-01,8.0335
1978-12-01,8.2160
1979-01-01,8.2091
1979-02-01,8.2500
1979-03-01,8.2418
1979-04-01,8.2062
1979-05-01,8.2891
1979-06-01,8.1190
1979-07-01,7.9067
1979-08-01,8.0113
1979-09-01,8.1358
1979-10-01,8.2259
1979-11-01,8.1926
1979-12-01,8.0995
1980-01-01,7.9882
1980-02-01,7.9816
1980-03-01,8.1519
1980-04-01,8.0700
1980-05-01,7.8586
1980-06-01,7.8424
1980-07-01,7.7664
1980-08-01,7.7824
1980-09-01,7.7495
1980-10-01,7.7323
1980-11-01,7.7712
1980-12-01,7.9314
1981-01-01,7.9576
1981-02-01,8.2211
1981-03-01,8.2432
1981-04-01,8.2918
1981-05-01,8.4045
1981-06-01,8.5564
1981-07-01,8.9065
1981-08-01,9.0605
1981-09-01,9.1152
1981-10-01,9.1348
1981-11-01,9.1350
1981-12-01,9.1305
1982-01-01,9.1525
1982-02-01,9.2144
1982-03-01,9.2935
1982-04-01,9.3923
1982-05-01,9.2965
1982-06-01,9.4668
1982-07-01,9.5633
1982-08-01,9.5741
1982-09-01,9.6495
1982-10-01,9.7005
1982-11-01,9.7968
1982-12-01,9.6926
1983-01-01,9.7938
1983-02-01,9.9184
1983-03-01,9.9652
1983-04-01,9.9824
1983-05-01,9.9895
1983-06-01,10.0491
1983-07-01,10.0875
1983-08-01,10.1874
1983-09-01,10.2005
1983-10-01,10.2290
1983-11-01,10.3784
1983-12-01,10.4895
1984-01-01,10.7152
1984-02-01,10.7437
1984-03-01,10.7145
1984-04-01,10.8200
1984-05-01,11.0168
1984-06-01,11.0638
1984-07-01,11.3714
1984-08-01,11.5561
1984-09-01,11.8584
1984-10-01,12.0268
1984-11-01,12.0784
1984-12-01,12.2925
1985-01-01,12.6119
1985-02-01,12.9217
1985-03-01,12.8614
1985-04-01,12.4005
1985-05-01,12.5005
1985-06-01,12.4405
1985-07-01,12.0314
1985-08-01,11.8977
1985-09-01,12.1255
1985-10-01,12.0332
1985-11-01,12.1011
1985-12-01,12.1524
1986-01-01,12.2433
1986-02-01,12.3700
1986-03-01,12.2890
1986-04-01,12.3932
1986-05-01,12.4657
1986-06-01,12.5986
1986-07-01,12.5077
1986-08-01,12.5667
1986-09-01,12.6757
1986-10-01,12.8486
1986-11-01,13.0761
1986-12-01,13.1486
1987-01-01,13.0295
1987-02-01,13.0621
1987-03-01,12.9236
1987-04-01,12.8145
1987-05-01,12.6660
1987-06-01,12.8368
1987-07-01,13.0126
1987-08-01,13.0852
1987-09-01,12.9933
1987-10-01,13.0429
1987-11-01,12.9721
1987-12-01,12.9345
1988-01-01,13.0395
1988-02-01,13.0650
1988-03-01,12.9791
1988-04-01,13.1576
1988-05-01,13.3157
1988-06-01,13.7859
1988-07-01,14.0795
1988-08-01,14.2170
1988-09-01,14.4895
1988-10-01,14.7200
1988-11-01,14.9660
1988-12-01,15.0190
1989-01-01,15.0925
1989-02-01,15.2405
1989-03-01,15.4674
1989-04-01,15.7180
1989-05-01,16.1018
1989-06-01,16.4195
1989-07-01,16.4160
1989-08-01,16.6091
1989-09-01,16.7450
1989-10-01,16.8190
1989-11-01,16.9248
1989-12-01,16.9320
1990-01-01,16.9633
1990-02-01,16.9895
1990-03-01,17.1164
1990-04-01,17.2943
1990-05-01,17.3245
1990-06-01,17.4210
1990-07-01,17.4119
1990-08-01,17.3465
1990-09-01,17.8595
1990-10-01,18.0736
1990-11-01,18.0975
1990-12-01,18.1272
1991-01-01,18.3390
1991-02-01,18.8600
1991-03-01,19.2429
1991-04-01,19.9064
1991-05-01,20.5186
1991-06-01,21.0620
1991-07-01,25.6127
1991-08-01,25.8457
1991-09-01,25.8335
1991-10-01,25.7973
1991-11-01,25.8021
1991-12-01,25.8180
1992-01-01,25.8629
1992-02-01,25.9921
1992-03-01,28.3777
1992-04-01,28.8962
1992-05-01,28.5415
1992-06-01,28.5186
1992-07-01,28.5639
1992-08-01,28.4635
1992-09-01,28.4757
1992-10-01,28.4767
1992-11-01,28.4737
1992-12-01,28.9786
1993-01-01,29.0432
1993-02-01,30.0421
1993-03-01,31.9391
1993-04-01,31.6095
1993-05-01,31.6125
1993-06-01,31.6682
1993-07-01,31.6000
1993-08-01,31.6123
1993-09-01,31.5776
1993-10-01,31.5050
1993-11-01,31.4335
1993-12-01,31.4400
1994-01-01,31.4400
1994-02-01,31.4489
1994-03-01,31.4147
1994-04-01,31.3914
1994-05-01,31.3754
1994-06-01,31.3845
1994-07-01,31.3764
1994-08-01,31.3727
1994-09-01,31.3723
1994-10-01,31.3726
1994-11-01,31.3940
1994-12-01,31.3894
1995-01-01,31.3736
1995-02-01,31.3795
1995-03-01,31.5865
1995-04-01,31.4073
1995-05-01,31.4179
1995-06-01,31.4037
1995-07-01,31.3853
1995-08-01,31.5923
1995-09-01,33.3098
1995-10-01,34.6564
1995-11-01,34.7100
1995-12-01,34.9663
1996-01-01,35.8117
1996-02-01,36.5945
1996-03-01,34.4852
1996-04-01,34.3195
1996-05-01,35.0250
1996-06-01,35.0995
1996-07-01,35.6673
1996-08-01,35.8000
1996-09-01,35.8700
1996-10-01,35.8036
1996-11-01,35.8392
1996-12-01,35.8815
1997-01-01,35.9037
1997-02-01,35.8905
1997-03-01,35.8848
1997-04-01,35.8281
1997-05-01,35.8248
1997-06-01,35.8202
1997-07-01,35.7474
1997-08-01,36.0085
1997-09-01,36.4756
1997-10-01,36.3020
1997-11-01,37.2889
1997-12-01,39.4000
1998-01-01,39.3910
1998-02-01,39.0079
1998-03-01,39.5686
1998-04-01,39.7029
1998-05-01,40.4687
1998-06-01,42.3668
1998-07-01,42.6118
1998-08-01,42.8429
1998-09-01,42.5790
1998-10-01,42.3943
1998-11-01,42.4284
1998-12-01,42.5909
1999-01-01,42.5453
1999-02-01,42.5316
1999-03-01,42.5161
1999-04-01,42.7968
1999-05-01,42.8590
1999-06-01,43.2127
1999-07-01,43.3567
1999-08-01,43.5032
1999-09-01,43.5981
1999-10-01,43.5528
1999-11-01,43.4580
1999-12-01,43.5239
2000-01-01,43.5895
2000-02-01,43.6540
2000-03-01,43.6383
2000-04-01,43.6847
2000-05-01,44.0759
2000-06-01,44.7605
2000-07-01,44.8405
2000-08-01,45.7687
2000-09-01,45.9680
2000-10-01,46.4252
2000-11-01,46.8214
2000-12-01,46.7845
2001-01-01,46.6138
2001-02-01,46.5616
2001-03-01,46.6532
2001-04-01,46.7886
2001-05-01,46.9473
2001-06-01,47.0424
2001-07-01,47.1781
2001-08-01,47.1665
2001-09-01,47.7511
2001-10-01,48.0514
2001-11-01,48.0430
2001-12-01,47.9345
2002-01-01,48.3533
2002-02-01,48.7168
2002-03-01,48.7667
2002-04-01,48.9386
2002-05-01,49.0168
2002-06-01,48.9840
2002-07-01,48.7877
2002-08-01,48.6150
2002-09-01,48.4625
2002-10-01,48.3882
2002-11-01,48.2853
2002-12-01,48.1495
2003-01-01,47.9571
2003-02-01,47.7474
2003-03-01,47.6767
2003-04-01,47.3909
2003-05-01,47.11
2003-06-01,46.6995
2003-07-01,46.22
2003-08-01,45.9557
2003-09-01,45.8467
2003-10-01,45.4036
2003-11-01,45.5544
2003-12-01,45.5741
2004-01-01,45.4560
2004-02-01,45.2726
2004-03-01,44.9693
2004-04-01,43.8918
2004-05-01,45.1755
2004-06-01,45.5027
2004-07-01,46.0557
2004-08-01,46.3220
2004-09-01,46.0548
2004-10-01,45.7355
2004-11-01,45.0325
2004-12-01,43.8470
2005-01-01,43.6150
2005-02-01,43.5758
2005-03-01,43.5861
2005-04-01,43.6419
2005-05-01,43.4095
2005-06-01,43.5245
2005-07-01,43.4340
2005-08-01,43.55
2005-09-01,43.8462
2005-10-01,44.7575
2005-11-01,45.6315
2005-12-01,45.5633
2006-01-01,44.2010
2006-02-01,44.23
2006-03-01,44.3378
2006-04-01,44.8245
2006-05-01,45.1959
2006-06-01,45.8886
2006-07-01,46.3675
2006-08-01,46.4461
2006-09-01,46.0105
2006-10-01,45.3552
2006-11-01,44.7257
2006-12-01,44.4835
2007-01-01,44.2062
2007-02-01,44.0195
2007-03-01,43.7936
2007-04-01,42.0176
2007-05-01,40.5686
2007-06-01,40.5905
2007-07-01,40.2738
2007-08-01,40.6791
2007-09-01,40.1735
2007-10-01,39.3661
2007-11-01,39.3267
2007-12-01,39.3750
2008-01-01,39.2676
2008-02-01,39.6735
2008-03-01,40.1452
2008-04-01,39.9668
2008-05-01,42.0019
2008-06-01,42.7633
2008-07-01,42.7027
2008-08-01,42.9057
2008-09-01,45.5300
2008-10-01,48.6155
2008-11-01,48.8517
2008-12-01,48.5132
2009-01-01,48.6995
2009-02-01,49.2484
2009-03-01,51.1291
2009-04-01,49.9655
2009-05-01,48.5100
2009-06-01,47.6736
2009-07-01,48.3624
2009-08-01,48.2426
2009-09-01,48.2924
2009-10-01,46.6524
2009-11-01,46.5305
2009-12-01,46.5273
2010-01-01,45.8944
2010-02-01,46.2732
2010-03-01,45.4509
2010-04-01,44.4440
2010-05-01,45.7690
2010-06-01,46.4983
2010-07-01,46.7617
2010-08-01,46.4605
2010-09-01,45.8729
2010-10-01,44.3540
2010-11-01,44.9315
2010-12-01,45.1000
2011-01-01,45.3750
2011-02-01,45.3795
2011-03-01,44.9143
2011-04-01,44.3010
2011-05-01,44.9024
2011-06-01,44.8109
2011-07-01,44.3960
2011-08-01,45.3135
2011-09-01,47.6905
2011-10-01,49.2020
2011-11-01,50.6785
2011-12-01,52.3824
2012-01-01,51.0015
2012-02-01,49.1812
2012-03-01,50.3635
2012-04-01,51.6900
2012-05-01,54.3314
2012-06-01,55.9424
2012-07-01,55.4248
2012-08-01,55.4935
2012-09-01,54.3500
2012-10-01,53.0995
2012-11-01,54.7845
2012-12-01,54.6470
2013-01-01,54.2290
2013-02-01,53.8079
2013-03-01,54.4229
2013-04-01,54.3236
2013-05-01,54.9845
2013-06-01,58.3835
2013-07-01,59.7609
2013-08-01,62.8109
2013-09-01,63.6480
2013-10-01,61.6059
2013-11-01,62.5179
2013-12-01,61.8110
2014-01-01,62.1057
2014-02-01,62.1642
2014-03-01,60.9476
2014-04-01,60.3464
2014-05-01,59.2843
2014-06-01,59.7367
2014-07-01,60.0956
2014-08-01,60.8738
2014-09-01,60.8976
2014-10-01,61.3668
2014-11-01,61.6828
2014-12-01,62.7071
2015-01-01,62.1300
2015-02-01,61.9905
2015-03-01,62.4805
2015-04-01,62.6414
2015-05-01,63.7150
2015-06-01,63.7809
2015-07-01,63.6045
2015-08-01,65.0971
2015-09-01,66.1667
2015-10-01,65.0262
2015-11-01,66.1000
2015-12-01,66.5023
2016-01-01,67.3332
2016-02-01,68.2395
2016-03-01,66.8909
2016-04-01,66.4219
2016-05-01,66.8895
2016-06-01,67.2655
2016-07-01,67.1580
2016-08-01,66.9035
2016-09-01,66.7138
2016-10-01,66.7415
2016-11-01,67.6395
2016-12-01,67.8052
2017-01-01,68.0474
2017-02-01,66.9726
2017-03-01,65.8009
2017-04-01,64.5360
2017-05-01,64.4195
2017-06-01,64.4482
2017-07-01,64.424
2017-08-01,63.9683
2017-09-01,64.4775
2017-10-01,65.0357
2017-11-01,64.8435
2017-12-01,64.2445
2018-01-01,63.6452
2018-02-01,64.4300
2018-03-01,65.0455
2018-04-01,65.6729
2018-05-01,67.5100
2018-06-01,67.7900
2018-07-01,68.6867
2018-08-01,69.6317
2018-09-01,72.2779
2018-10-01,73.5609
2018-11-01,71.7380
2018-12-01,70.8331
2019-01-01,70.5975
